date,load_AT,load_BE,load_FRA,load_GER,load_NL
2019-01-05 02:00:00,5832,9124.25,68900,44718.25,11607.5
2019-01-05 03:00:00,5689,8791.75,65500,44600.25,11329
2019-01-05 04:00:00,5719,8807.25,63500,45003.5,11234.5
2019-01-05 05:00:00,5981,8979.75,63600,44713,11422.75
2019-01-05 06:00:00,6328,9410,65050,44997,11867.75
2019-01-05 07:00:00,6934,9566.75,67150,48697.5,12850
2019-01-05 08:00:00,7336,10191.25,69350,53954,14051.25
2019-01-05 09:00:00,7618,10259,71550,57466.75,14851.75
2019-01-05 10:00:00,7746,10313.25,73700,58729.75,15264.25
2019-01-05 11:00:00,7777,10575.25,74250,59635,15191
2019-01-05 12:00:00,7658,10606.5,75100,58860.25,14821.5
2019-01-05 13:00:00,7511,10470,74550,56533,14360.25
2019-01-05 14:00:00,7433,10310.75,71250,55154.5,14340.75
2019-01-05 15:00:00,7502,10302.75,68150,55299.75,14431.75
2019-01-05 16:00:00,7807,10424.25,66450,56585.5,14768
2019-01-05 17:00:00,8096,11014.75,68900,59380.75,15172.5
2019-01-05 18:00:00,7918,11070,73100,59513.25,14250.25
2019-01-05 19:00:00,7481,10695.75,74500,57260.25,13596.25
2019-01-05 20:00:00,7102,10228.5,72450,54086,13042.5
2019-01-05 21:00:00,6688,9847.75,69750,52159.5,12348.25
2019-01-05 22:00:00,6669,9896.25,68950,50776.25,11640.25
2019-01-05 23:00:00,6212,9971.75,73000,47583.75,11138
2019-01-06 00:00:00,5812,10089.25,70450,45240.75,10835.5
2019-01-06 01:00:00,5515,8908.25,67550,43675,10506.75
2019-01-06 02:00:00,5374,8474,66400,42815.5,10172.5
2019-01-06 03:00:00,5190,8175,62750,42515,10183
2019-01-06 04:00:00,5197,8056.25,60650,42721.5,10336
2019-01-06 05:00:00,5356,8099,60150,42153.5,10640
2019-01-06 06:00:00,5534,8288.75,61050,41641,10973.5
2019-01-06 07:00:00,6035,8404.25,62200,43347.75,11624.75
2019-01-06 08:00:00,6430,8751,63950,46419.5,12738.5
2019-01-06 09:00:00,6790,9252,65650,49672,13664.25
2019-01-06 10:00:00,7024,9782.25,68300,51283,14326.25
2019-01-06 11:00:00,7129,10133.25,69750,53701.75,14753
2019-01-06 12:00:00,6959,10302,71800,53266.5,15130.25
2019-01-06 13:00:00,6755,10105.75,71850,51713.75,15385.5
2019-01-06 14:00:00,6639,9825.25,68100,50508,15458.75
