Cluster 0,Cluster 1,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7
28.862858017577288,209.45152793010953,348.4416285814606,109.24559842843692,162.19473672956178,543.7024231347132,341.65619034028305,73.54044750895773
26.455775049824005,198.8421417007676,329.42453620722927,102.09088443203954,152.4573884536867,511.3818407012711,317.002968361703,68.0550120733784
24.511798656442267,194.14443074484865,321.5096558983442,98.34648598557283,147.81246806222987,498.16549897449477,306.0765023485362,64.87999108975164
23.316746576598348,190.27233871889763,314.75714432231314,95.53054154637597,144.14204689549007,486.7824001087986,297.0976015993614,62.61195541770414
23.868851143382088,194.13377907294756,319.6490137823285,96.76171626890985,146.21488097174415,492.04176798812716,297.5615353978976,63.22325440882994
26.568377949359416,211.7658006239256,345.88730536371344,104.5967788823113,158.18334214345867,528.3148651970516,315.0477889117083,68.17146522619677
32.90517657185805,257.89811122706226,415.8477338233133,125.08698776148032,189.76485215849058,626.9070887537741,364.2154629091639,80.94787959680778
40.45446920512694,299.85371752081124,474.14268244154056,142.64182207613084,216.54745553815002,700.9337953610377,392.43961157922104,91.93029533169789
41.956622721232975,314.4178703484983,491.7208306475762,146.272948718721,223.41129192441497,717.7329585076834,389.55222776076306,93.13867152394646
38.61506122567178,299.1669209102706,462.4967590400086,135.113766916449,208.35247658875267,665.4551654871234,347.13486831422927,84.44329097598515
34.68807363641318,282.06647585772856,430.933344877784,123.05938402223542,192.0688060906469,610.4938844072927,303.7963751761713,75.09166893522017
32.70395947631406,271.61633005957214,410.54097989616315,115.51316991671683,181.74968254136874,573.6939611525806,273.99935615534685,69.29710576781477
29.999973898797272,258.91851535428543,387.6315647947282,107.04159976305985,170.13414225577282,534.64413572721,244.31499267181397,62.858675957695894
26.85683980549883,251.9738087164522,374.8239663536366,100.6687565588742,162.39753068026465,511.5083296191076,223.31601457564727,57.30413961822739
25.961593847569723,254.89123211409333,377.53103154673863,99.82424502677539,162.40414499661057,511.6802010460974,216.95602617359685,55.77719938361019
28.292533384821922,264.0132304121545,393.68855319882897,106.12491430032529,170.84940555651195,539.0097978688734,237.99108284444134,60.69410813134761
32.58376903171896,276.87736026467536,417.5221094176316,116.52051781038213,184.12940848133513,581.3669769227674,273.90674827178094,69.29547932117399
40.66762713845026,305.73392753521347,469.02573861089115,137.33689377739483,211.60129270347835,669.4291180749897,343.52677292877195,85.8535878798773
46.81999419601392,315.5876836556815,496.0365328656373,152.62740815069478,229.19078327082352,730.7332041780325,411.0003889822602,100.08744674157484
49.01401011947847,316.7351552070868,509.8808253867436,161.42425683673233,238.8261324169048,772.0308338687421,463.19884006709583,108.78467676870986
45.638512198795894,291.4297258187544,476.59642813266476,152.94639698766545,224.67325537289665,733.8751940765969,455.99187573989803,104.44066158550481
40.61689441299157,260.3977502814304,430.5063373248072,138.94421391655413,203.46556087208867,670.1636396104514,424.9560203126805,95.4685033965901
38.60981364390429,242.0097266753268,401.0669279814001,130.46042896318176,190.31084207012697,626.3069594293595,400.5480928615518,90.1881522517196
33.00673670260535,213.55184999695604,356.0563724365152,115.2274950597288,168.46482168850866,558.7812166829336,359.3404107568624,79.45040854100482
