"MTU (CET/CEST)","Generation - Solar  [MW] Day Ahead/ BZN|DE-LU","Generation - Solar  [MW] Intraday / BZN|DE-LU","Generation - Solar  [MW] Current / BZN|DE-LU","Generation - Wind Offshore  [MW] Day Ahead/ BZN|DE-LU","Generation - Wind Offshore  [MW] Intraday / BZN|DE-LU","Generation - Wind Offshore  [MW] Current / BZN|DE-LU","Generation - Wind Onshore  [MW] Day Ahead/ BZN|DE-LU","Generation - Wind Onshore  [MW] Intraday / BZN|DE-LU","Generation - Wind Onshore  [MW] Current / BZN|DE-LU"
"06.01.2023 09:00 - 06.01.2023 09:15","1164","1134","","5290","5815","","25407","27959",""
"06.01.2023 09:15 - 06.01.2023 09:30","1602","1582","","5311","5832","","25764","28266",""
"06.01.2023 09:30 - 06.01.2023 09:45","2090","2076","","5335","5849","","26124","28569",""
"06.01.2023 09:45 - 06.01.2023 10:00","2592","2590","","5350","5866","","26447","28863",""
"06.01.2023 10:00 - 06.01.2023 10:15","3086","3087","","5354","5879","","26745","29161",""
"06.01.2023 10:15 - 06.01.2023 10:30","3598","3578","","5394","5936","","26745","28999",""
"06.01.2023 10:30 - 06.01.2023 10:45","4102","4047","","5435","5943","","26732","28830",""
"06.01.2023 10:45 - 06.01.2023 11:00","4559","4493","","5474","5952","","26701","28650",""
"06.01.2023 11:00 - 06.01.2023 11:15","4978","4902","","5517","5919","","26644","28474",""
"06.01.2023 11:15 - 06.01.2023 11:30","5348","5292","","5556","5934","","26405","28234",""
"06.01.2023 11:30 - 06.01.2023 11:45","5692","5624","","5570","5944","","26150","28006",""
"06.01.2023 11:45 - 06.01.2023 12:00","5949","5890","","5660","5955","","25898","27776",""
"06.01.2023 12:00 - 06.01.2023 12:15","6132","6135","","5669","5961","","25638","27538",""
"06.01.2023 12:15 - 06.01.2023 12:30","6229","6339","","5669","5967","","25513","27454",""
"06.01.2023 12:30 - 06.01.2023 12:45","6263","6415","","5692","5973","","25406","27366",""
"06.01.2023 12:45 - 06.01.2023 13:00","6210","6330","","5687","5979","","25330","27304",""
"06.01.2023 13:00 - 06.01.2023 13:15","6068","6205","","5679","5983","","25195","27124",""
"06.01.2023 13:15 - 06.01.2023 13:30","5812","5986","","5664","5971","","24915","26754",""
"06.01.2023 13:30 - 06.01.2023 13:45","5487","5664","","5649","6088","","24600","26359",""
"06.01.2023 13:45 - 06.01.2023 14:00","5077","5208","","5633","6080","","24244","25944",""
"06.01.2023 14:00 - 06.01.2023 14:15","4623","4702","","5618","6066","","23858","24886",""
"06.01.2023 14:15 - 06.01.2023 14:30","4107","4167","","5694","6054","","23336","24327",""
"06.01.2023 14:30 - 06.01.2023 14:45","3525","3577","","5697","6040","","22808","23766",""
"06.01.2023 14:45 - 06.01.2023 15:00","2879","2938","","5697","6026","","22281","23194",""
"06.01.2023 15:00 - 06.01.2023 15:15","2318","2360","","5696","5667","","21742","22615",""
"06.01.2023 15:15 - 06.01.2023 15:30","1775","1802","","5686","5679","","21259","22028",""
"06.01.2023 15:30 - 06.01.2023 15:45","1261","1283","","5675","5695","","20778","21450",""
"06.01.2023 15:45 - 06.01.2023 16:00","807","817","","5661","5712","","20301","20883",""
"06.01.2023 16:00 - 06.01.2023 16:15","477","468","","5653","5717","","19825","20341",""
"06.01.2023 16:15 - 06.01.2023 16:30","234","224","","5634","5694","","19363","19935",""
"06.01.2023 16:30 - 06.01.2023 16:45","129","114","","5612","5668","","18905","19536",""
"06.01.2023 16:45 - 06.01.2023 17:00","11","13","","5594","5641","","18449","19138",""
"06.01.2023 17:00 - 06.01.2023 17:15","0","0","","5563","5609","","18010","18739",""
"06.01.2023 17:15 - 06.01.2023 17:30","0","0","","5531","5577","","17698","18464",""
"06.01.2023 17:30 - 06.01.2023 17:45","0","0","","5503","5535","","17386","18185",""
"06.01.2023 17:45 - 06.01.2023 18:00","0","0","","5453","5509","","17076","17905",""
"06.01.2023 18:00 - 06.01.2023 18:15","0","0","","5396","5463","","16777","17625",""
"06.01.2023 18:15 - 06.01.2023 18:30","0","0","","5329","5413","","16537","17381",""
"06.01.2023 18:30 - 06.01.2023 18:45","0","0","","5262","5355","","16325","17157",""
"06.01.2023 18:45 - 06.01.2023 19:00","0","0","","5187","5293","","16167","16986",""
"06.01.2023 19:00 - 06.01.2023 19:15","0","0","","5115","5231","","16099","16909",""
"06.01.2023 19:15 - 06.01.2023 19:30","0","0","","5055","5194","","15952","16768",""
"06.01.2023 19:30 - 06.01.2023 19:45","0","0","","4983","5150","","15747","16555",""
"06.01.2023 19:45 - 06.01.2023 20:00","0","0","","4918","5119","","15494","16271",""
"06.01.2023 20:00 - 06.01.2023 20:15","0","0","","4847","5081","","15222","15941",""
"06.01.2023 20:15 - 06.01.2023 20:30","0","0","","4777","5034","","14951","15693",""
"06.01.2023 20:30 - 06.01.2023 20:45","0","0","","4707","4981","","14682","15474",""
"06.01.2023 20:45 - 06.01.2023 21:00","0","0","","4634","4924","","14428","15278",""
"06.01.2023 21:00 - 06.01.2023 21:15","0","0","","4561","4870","","14178","15103",""
"06.01.2023 21:15 - 06.01.2023 21:30","0","0","","4501","4816","","13955","14908",""
"06.01.2023 21:30 - 06.01.2023 21:45","0","0","","4438","4763","","13737","14713",""
"06.01.2023 21:45 - 06.01.2023 22:00","0","0","","4368","4714","","13529","14520",""
"06.01.2023 22:00 - 06.01.2023 22:15","0","0","","4289","4631","","13189","14158",""
"06.01.2023 22:15 - 06.01.2023 22:30","0","0","","4211","4564","","13036","13993",""
"06.01.2023 22:30 - 06.01.2023 22:45","0","0","","4134","4491","","12886","13831",""
"06.01.2023 22:45 - 06.01.2023 23:00","0","0","","4053","4409","","12738","13667",""
"06.01.2023 23:00 - 06.01.2023 23:15","0","0","","3964","4332","","12588","13496",""
"06.01.2023 23:15 - 06.01.2023 23:30","0","0","","3888","4251","","12454","13312",""
"06.01.2023 23:30 - 06.01.2023 23:45","0","0","","3801","4174","","12321","13132",""
"06.01.2023 23:45 - 07.01.2023 00:00","0","0","","3717","4096","","12176","12936",""
"07.01.2023 00:00 - 07.01.2023 00:15","0","0","","4341","4285","","13245","15634",""
"07.01.2023 00:15 - 07.01.2023 00:30","0","0","","4282","4254","","13087","15224",""
"07.01.2023 00:30 - 07.01.2023 00:45","0","0","","4226","4223","","12919","15029",""
"07.01.2023 00:45 - 07.01.2023 01:00","0","0","","4166","4150","","12733","14695",""
"07.01.2023 01:00 - 07.01.2023 01:15","0","0","","4176","4032","","12552","14491",""
"07.01.2023 01:15 - 07.01.2023 01:30","0","0","","4222","3995","","12429","14325",""
"07.01.2023 01:30 - 07.01.2023 01:45","0","0","","4256","3945","","12314","14231",""
"07.01.2023 01:45 - 07.01.2023 02:00","0","0","","4296","3884","","12194","14136",""
"07.01.2023 02:00 - 07.01.2023 02:15","0","0","","4338","3927","","12066","14055",""
"07.01.2023 02:15 - 07.01.2023 02:30","0","0","","4418","4207","","12024","14042",""
"07.01.2023 02:30 - 07.01.2023 02:45","0","0","","4488","4346","","11998","14001",""
"07.01.2023 02:45 - 07.01.2023 03:00","0","0","","4551","4494","","11987","14299",""
"07.01.2023 03:00 - 07.01.2023 03:15","0","0","","4629","4595","","11983","14286",""
"07.01.2023 03:15 - 07.01.2023 03:30","0","0","","4619","4767","","12016","14219",""
"07.01.2023 03:30 - 07.01.2023 03:45","0","0","","4678","4913","","12046","14320",""
"07.01.2023 03:45 - 07.01.2023 04:00","0","0","","4718","5177","","12074","14296",""
"07.01.2023 04:00 - 07.01.2023 04:15","0","0","","4751","5399","","12109","14436",""
"07.01.2023 04:15 - 07.01.2023 04:30","0","0","","4797","5426","","12106","14415",""
"07.01.2023 04:30 - 07.01.2023 04:45","0","0","","4847","5499","","12103","14548",""
"07.01.2023 04:45 - 07.01.2023 05:00","0","0","","4894","5598","","12100","14542",""
"07.01.2023 05:00 - 07.01.2023 05:15","0","0","","4933","5666","","12092","14594",""
"07.01.2023 05:15 - 07.01.2023 05:30","0","0","","4966","5727","","12096","14685",""
"07.01.2023 05:30 - 07.01.2023 05:45","0","0","","4996","5821","","12102","14746",""
"07.01.2023 05:45 - 07.01.2023 06:00","0","0","","5026","5818","","12107","14637",""
"07.01.2023 06:00 - 07.01.2023 06:15","0","0","","5024","5799","","12246","14922",""
"07.01.2023 06:15 - 07.01.2023 06:30","0","0","","5035","5799","","12299","14938",""
"07.01.2023 06:30 - 07.01.2023 06:45","0","0","","5051","5818","","12342","14831",""
"07.01.2023 06:45 - 07.01.2023 07:00","0","0","","5062","5831","","12346","14786",""
"07.01.2023 07:00 - 07.01.2023 07:15","0","0","","5069","5844","","12331","14727",""
"07.01.2023 07:15 - 07.01.2023 07:30","0","0","","5071","5835","","12391","15137",""
"07.01.2023 07:30 - 07.01.2023 07:45","0","0","","5074","5821","","12474","15301",""
"07.01.2023 07:45 - 07.01.2023 08:00","0","0","","5077","5806","","12556","15301",""
"07.01.2023 08:00 - 07.01.2023 08:15","39","27","","5104","5781","","12598","15438",""
"07.01.2023 08:15 - 07.01.2023 08:30","150","116","","5111","5747","","12678","15481",""
"07.01.2023 08:30 - 07.01.2023 08:45","631","532","","5120","5729","","12793","15413",""
"07.01.2023 08:45 - 07.01.2023 09:00","1116","1023","","5129","5716","","12930","15465",""
"07.01.2023 09:00 - 07.01.2023 09:15","1726","1653","","5141","5691","","13081","15521",""
"07.01.2023 09:15 - 07.01.2023 09:30","2465","2426","","5151","5694","","13125","15457",""
"07.01.2023 09:30 - 07.01.2023 09:45","3293","3253","","5171","5679","","13168","15386",""
"07.01.2023 09:45 - 07.01.2023 10:00","4136","4075","","5189","5678","","13162","15290",""
"07.01.2023 10:00 - 07.01.2023 10:15","4984","4889","","5203","5676","","13157","15187",""
"07.01.2023 10:15 - 07.01.2023 10:30","5840","5683","","5220","5676","","12945","14964",""
"07.01.2023 10:30 - 07.01.2023 10:45","6687","6456","","5239","5676","","12732","14740",""
"07.01.2023 10:45 - 07.01.2023 11:00","7535","7175","","5256","5677","","12531","14464",""
"07.01.2023 11:00 - 07.01.2023 11:15","8264","7820","","5277","5685","","12330","14108",""
"07.01.2023 11:15 - 07.01.2023 11:30","8925","8436","","5283","5699","","12145","13894",""
"07.01.2023 11:30 - 07.01.2023 11:45","9496","8929","","5288","5712","","11966","13651",""
"07.01.2023 11:45 - 07.01.2023 12:00","9950","9339","","5292","5735","","11824","13473",""
"07.01.2023 12:00 - 07.01.2023 12:15","10335","9677","","5298","5759","","11688","13306",""
"07.01.2023 12:15 - 07.01.2023 12:30","10580","9900","","5316","5776","","11715","13216",""
"07.01.2023 12:30 - 07.01.2023 12:45","10696","9985","","5336","5789","","11762","13117",""
"07.01.2023 12:45 - 07.01.2023 13:00","10650","9973","","5352","5793","","11852","13070",""
"07.01.2023 13:00 - 07.01.2023 13:15","10508","9820","","5366","5796","","11994","13038",""
"07.01.2023 13:15 - 07.01.2023 13:30","10189","9460","","5377","5797","","12137","13054",""
"07.01.2023 13:30 - 07.01.2023 13:45","9751","9056","","5386","5796","","12260","13117",""
"07.01.2023 13:45 - 07.01.2023 14:00","9164","8533","","5393","5792","","12372","13203",""
"07.01.2023 14:00 - 07.01.2023 14:15","8491","8363","","5398","5791","","12492","12935",""
"07.01.2023 14:15 - 07.01.2023 14:30","7672","7510","","5410","5787","","12768","13151",""
"07.01.2023 14:30 - 07.01.2023 14:45","6694","6511","","5417","5774","","13050","13425",""
"07.01.2023 14:45 - 07.01.2023 15:00","5612","5404","","5425","5770","","13367","13745",""
"07.01.2023 15:00 - 07.01.2023 15:15","4503","4321","","5434","5373","","13726","14091",""
"07.01.2023 15:15 - 07.01.2023 15:30","3403","3274","","5443","5362","","14448","14741",""
"07.01.2023 15:30 - 07.01.2023 15:45","2389","2261","","5454","5375","","15180","15375",""
"07.01.2023 15:45 - 07.01.2023 16:00","1499","1388","","5466","5388","","15960","16096",""
"07.01.2023 16:00 - 07.01.2023 16:15","867","786","","5475","5397","","16741","16856",""
"07.01.2023 16:15 - 07.01.2023 16:30","433","382","","5481","5408","","17626","17710",""
"07.01.2023 16:30 - 07.01.2023 16:45","233","193","","5480","5424","","18498","18521",""
"07.01.2023 16:45 - 07.01.2023 17:00","29","26","","5496","5438","","19326","19397",""
"07.01.2023 17:00 - 07.01.2023 17:15","0","0","","5537","5424","","20137","20176",""
"07.01.2023 17:15 - 07.01.2023 17:30","0","0","","5557","5442","","20819","20800",""
"07.01.2023 17:30 - 07.01.2023 17:45","0","0","","5583","5456","","21500","21439",""
"07.01.2023 17:45 - 07.01.2023 18:00","0","0","","5596","5474","","22169","22060",""
"07.01.2023 18:00 - 07.01.2023 18:15","0","0","","5618","5486","","22823","22613",""
"07.01.2023 18:15 - 07.01.2023 18:30","0","0","","5639","5480","","23280","23050",""
"07.01.2023 18:30 - 07.01.2023 18:45","0","0","","5657","5500","","23760","23530",""
"07.01.2023 18:45 - 07.01.2023 19:00","0","0","","5790","5515","","24283","23996",""
"07.01.2023 19:00 - 07.01.2023 19:15","0","0","","5807","5528","","24748","24423",""
"07.01.2023 19:15 - 07.01.2023 19:30","0","0","","5829","5562","","24993","24735",""
"07.01.2023 19:30 - 07.01.2023 19:45","0","0","","5854","5592","","25175","25024",""
"07.01.2023 19:45 - 07.01.2023 20:00","0","0","","5877","5579","","25313","25306",""
"07.01.2023 20:00 - 07.01.2023 20:15","0","0","","5903","5602","","25424","25550",""
"07.01.2023 20:15 - 07.01.2023 20:30","0","0","","5917","5622","","25418","25715",""
"07.01.2023 20:30 - 07.01.2023 20:45","0","0","","5930","5644","","25412","25843",""
"07.01.2023 20:45 - 07.01.2023 21:00","0","0","","5949","5659","","25397","25938",""
"07.01.2023 21:00 - 07.01.2023 21:15","0","0","","5963","5677","","25379","26018",""
"07.01.2023 21:15 - 07.01.2023 21:30","0","0","","5962","5680","","25316","26033",""
"07.01.2023 21:30 - 07.01.2023 21:45","0","0","","5961","5680","","25253","26045",""
"07.01.2023 21:45 - 07.01.2023 22:00","0","0","","5955","5685","","25180","26046",""
"07.01.2023 22:00 - 07.01.2023 22:15","0","0","","5950","5731","","24664","25566",""
"07.01.2023 22:15 - 07.01.2023 22:30","0","0","","5942","5727","","24509","25469",""
"07.01.2023 22:30 - 07.01.2023 22:45","0","0","","5934","5729","","24351","25372",""
"07.01.2023 22:45 - 07.01.2023 23:00","0","0","","5926","5726","","24183","25262",""
"07.01.2023 23:00 - 07.01.2023 23:15","0","0","","5966","5735","","24020","25142",""
"07.01.2023 23:15 - 07.01.2023 23:30","0","0","","5971","5750","","23898","25001",""
"07.01.2023 23:30 - 07.01.2023 23:45","0","0","","5976","5765","","23777","24860",""
"07.01.2023 23:45 - 08.01.2023 00:00","0","0","","5976","5781","","23657","24721",""
"08.01.2023 00:00 - 08.01.2023 00:15","0","0","","6275","6264","","25087","25861",""
"08.01.2023 00:15 - 08.01.2023 00:30","0","0","","6286","6276","","24362","25004",""
"08.01.2023 00:30 - 08.01.2023 00:45","0","0","","6296","6380","","23846","24546",""
"08.01.2023 00:45 - 08.01.2023 01:00","0","0","","6311","6505","","23509","24309",""
"08.01.2023 01:00 - 08.01.2023 01:15","0","0","","5895","6623","","23224","23838",""
"08.01.2023 01:15 - 08.01.2023 01:30","0","0","","5879","6709","","22980","23927",""
"08.01.2023 01:30 - 08.01.2023 01:45","0","0","","5867","6734","","22738","23918",""
"08.01.2023 01:45 - 08.01.2023 02:00","0","0","","5854","6722","","22483","23537",""
"08.01.2023 02:00 - 08.01.2023 02:15","0","0","","5839","6743","","22237","23427",""
"08.01.2023 02:15 - 08.01.2023 02:30","0","0","","5818","6757","","21997","23283",""
"08.01.2023 02:30 - 08.01.2023 02:45","0","0","","5796","6771","","21731","22877",""
"08.01.2023 02:45 - 08.01.2023 03:00","0","0","","5774","6755","","21474","22521",""
"08.01.2023 03:00 - 08.01.2023 03:15","0","0","","5758","6708","","20746","21763",""
"08.01.2023 03:15 - 08.01.2023 03:30","0","0","","5740","6679","","20524","21948",""
"08.01.2023 03:30 - 08.01.2023 03:45","0","0","","5733","6620","","20300","21859",""
"08.01.2023 03:45 - 08.01.2023 04:00","0","0","","5719","6575","","20059","21459",""
"08.01.2023 04:00 - 08.01.2023 04:15","0","0","","5715","6532","","19808","21372",""
"08.01.2023 04:15 - 08.01.2023 04:30","0","0","","5712","6480","","19534","21313",""
"08.01.2023 04:30 - 08.01.2023 04:45","0","0","","5710","6493","","19277","21030",""
"08.01.2023 04:45 - 08.01.2023 05:00","0","0","","5842","6527","","19025","20835",""
"08.01.2023 05:00 - 08.01.2023 05:15","0","0","","5831","6591","","18913","20661",""
"08.01.2023 05:15 - 08.01.2023 05:30","0","0","","5818","6599","","18866","20607",""
"08.01.2023 05:30 - 08.01.2023 05:45","0","0","","5806","6578","","18706","20563",""
"08.01.2023 05:45 - 08.01.2023 06:00","0","0","","5787","6536","","18479","19953",""
"08.01.2023 06:00 - 08.01.2023 06:15","0","0","","5698","6495","","18355","19538",""
"08.01.2023 06:15 - 08.01.2023 06:30","0","0","","5678","6471","","18181","19347",""
"08.01.2023 06:30 - 08.01.2023 06:45","0","0","","5659","6399","","17919","19260",""
"08.01.2023 06:45 - 08.01.2023 07:00","0","0","","5640","6323","","17750","18867",""
"08.01.2023 07:00 - 08.01.2023 07:15","0","0","","5615","6312","","17534","18896",""
"08.01.2023 07:15 - 08.01.2023 07:30","0","0","","5605","6297","","17870","19503",""
"08.01.2023 07:30 - 08.01.2023 07:45","0","0","","5540","6309","","17938","19387",""
"08.01.2023 07:45 - 08.01.2023 08:00","0","0","","5537","6242","","17909","19379",""
"08.01.2023 08:00 - 08.01.2023 08:15","18","7","","5525","6220","","17716","19430",""
"08.01.2023 08:15 - 08.01.2023 08:30","78","48","","5520","6179","","17584","19463",""
"08.01.2023 08:30 - 08.01.2023 08:45","441","336","","5513","6145","","17486","19404",""
"08.01.2023 08:45 - 08.01.2023 09:00","732","560","","5502","6109","","17407","19442",""
"08.01.2023 09:00 - 08.01.2023 09:15","1058","851","","5492","6062","","17340","19381",""
"08.01.2023 09:15 - 08.01.2023 09:30","1433","1192","","5481","6067","","17231","19265",""
"08.01.2023 09:30 - 08.01.2023 09:45","1833","1546","","5475","6070","","17119","19140",""
"08.01.2023 09:45 - 08.01.2023 10:00","2223","1900","","5466","6070","","16994","19037",""
"08.01.2023 10:00 - 08.01.2023 10:15","2611","2254","","5452","6072","","16872","18929",""
"08.01.2023 10:15 - 08.01.2023 10:30","3004","2602","","5442","6071","","16725","18821",""
"08.01.2023 10:30 - 08.01.2023 10:45","3394","2931","","5422","6075","","16578","18669",""
"08.01.2023 10:45 - 08.01.2023 11:00","3743","3226","","5404","6077","","16431","18513",""
"08.01.2023 11:00 - 08.01.2023 11:15","4054","3492","","5387","6071","","16278","18359",""
"08.01.2023 11:15 - 08.01.2023 11:30","4323","3752","","5392","6067","","16133","18309",""
"08.01.2023 11:30 - 08.01.2023 11:45","4549","3961","","5392","6060","","15990","18261",""
"08.01.2023 11:45 - 08.01.2023 12:00","4698","4116","","5391","6053","","15850","18206",""
"08.01.2023 12:00 - 08.01.2023 12:15","4766","4244","","5389","6047","","15716","18140",""
"08.01.2023 12:15 - 08.01.2023 12:30","4763","4318","","5372","6039","","15615","18054",""
"08.01.2023 12:30 - 08.01.2023 12:45","4711","4338","","5359","6028","","15535","17973",""
"08.01.2023 12:45 - 08.01.2023 13:00","4597","4294","","5348","6022","","15501","17931",""
"08.01.2023 13:00 - 08.01.2023 13:15","4422","4214","","5328","6008","","15434","17825",""
"08.01.2023 13:15 - 08.01.2023 13:30","4183","4026","","5294","5980","","15232","17577",""
"08.01.2023 13:30 - 08.01.2023 13:45","3919","3831","","5257","5952","","14996","17301",""
"08.01.2023 13:45 - 08.01.2023 14:00","3613","3570","","5221","5918","","14741","17007",""
"08.01.2023 14:00 - 08.01.2023 14:15","3280","3473","","5208","5884","","14488","16442",""
"08.01.2023 14:15 - 08.01.2023 14:30","2903","3088","","5185","5848","","14245","16143",""
"08.01.2023 14:30 - 08.01.2023 14:45","2510","2644","","5155","5803","","14005","15850",""
"08.01.2023 14:45 - 08.01.2023 15:00","2079","2157","","5122","5761","","13768","15582",""
"08.01.2023 15:00 - 08.01.2023 15:15","1666","1716","","5084","5193","","13546","15350",""
"08.01.2023 15:15 - 08.01.2023 15:30","1289","1313","","5057","5187","","13501","15261",""
"08.01.2023 15:30 - 08.01.2023 15:45","939","950","","5030","5180","","13458","15185",""
"08.01.2023 15:45 - 08.01.2023 16:00","599","609","","5004","5177","","13430","15106",""
"08.01.2023 16:00 - 08.01.2023 16:15","361","371","","4975","5161","","13424","15032",""
"08.01.2023 16:15 - 08.01.2023 16:30","198","215","","4963","5166","","13666","15177",""
"08.01.2023 16:30 - 08.01.2023 16:45","93","100","","4951","5168","","13913","15338",""
"08.01.2023 16:45 - 08.01.2023 17:00","6","11","","4947","5170","","14160","15510",""
"08.01.2023 17:00 - 08.01.2023 17:15","0","0","","4944","5174","","14420","15694",""
"08.01.2023 17:15 - 08.01.2023 17:30","0","0","","4961","5155","","14720","15913",""
"08.01.2023 17:30 - 08.01.2023 17:45","0","0","","4989","5142","","15020","16134",""
"08.01.2023 17:45 - 08.01.2023 18:00","0","0","","5007","5120","","15320","16356",""
"08.01.2023 18:00 - 08.01.2023 18:15","0","0","","5033","5029","","15616","16622",""
"08.01.2023 18:15 - 08.01.2023 18:30","0","0","","5041","5001","","15844","16856",""
"08.01.2023 18:30 - 08.01.2023 18:45","0","0","","5053","4977","","16104","17073",""
"08.01.2023 18:45 - 08.01.2023 19:00","0","0","","5064","4948","","16428","17329",""
"08.01.2023 19:00 - 08.01.2023 19:15","0","0","","5076","4930","","16809","17612",""
"08.01.2023 19:15 - 08.01.2023 19:30","0","0","","5076","4937","","17124","17812",""
"08.01.2023 19:30 - 08.01.2023 19:45","0","0","","5081","4945","","17345","17904",""
"08.01.2023 19:45 - 08.01.2023 20:00","0","0","","5081","4951","","17486","17917",""
"08.01.2023 20:00 - 08.01.2023 20:15","0","0","","5084","4952","","17598","17870",""
"08.01.2023 20:15 - 08.01.2023 20:30","0","0","","5085","4967","","17704","17863",""
"08.01.2023 20:30 - 08.01.2023 20:45","0","0","","5035","4977","","17811","17887",""
"08.01.2023 20:45 - 08.01.2023 21:00","0","0","","5036","4990","","17916","17909",""
"08.01.2023 21:00 - 08.01.2023 21:15","0","0","","5036","5001","","18026","17941",""
"08.01.2023 21:15 - 08.01.2023 21:30","0","0","","5037","4993","","18146","17922",""
"08.01.2023 21:30 - 08.01.2023 21:45","0","0","","5041","4993","","18265","17903",""
"08.01.2023 21:45 - 08.01.2023 22:00","0","0","","5042","4981","","18387","17887",""
"08.01.2023 22:00 - 08.01.2023 22:15","0","0","","5079","5006","","18248","17637",""
"08.01.2023 22:15 - 08.01.2023 22:30","0","0","","5086","5001","","18300","17592",""
"08.01.2023 22:30 - 08.01.2023 22:45","0","0","","5088","4997","","18353","17546",""
"08.01.2023 22:45 - 08.01.2023 23:00","0","0","","5095","4996","","18403","17510",""
"08.01.2023 23:00 - 08.01.2023 23:15","0","0","","5098","4999","","18455","17476",""
"08.01.2023 23:15 - 08.01.2023 23:30","0","0","","5110","4986","","18512","17487",""
"08.01.2023 23:30 - 08.01.2023 23:45","0","0","","5114","4978","","18569","17498",""
"08.01.2023 23:45 - 09.01.2023 00:00","0","0","","5118","4969","","18620","17540",""
"09.01.2023 00:00 - 09.01.2023 00:15","0","0","","5834","5968","","18012","19436",""
"09.01.2023 00:15 - 09.01.2023 00:30","0","0","","5846","6006","","18068","20322",""
"09.01.2023 00:30 - 09.01.2023 00:45","0","0","","5848","6008","","18113","20142",""
"09.01.2023 00:45 - 09.01.2023 01:00","0","0","","5859","6047","","18148","20586",""
"09.01.2023 01:00 - 09.01.2023 01:15","0","0","","5267","5992","","18127","20499",""
"09.01.2023 01:15 - 09.01.2023 01:30","0","0","","5236","5997","","18102","20434",""
"09.01.2023 01:30 - 09.01.2023 01:45","0","0","","5199","5990","","18069","20505",""
"09.01.2023 01:45 - 09.01.2023 02:00","0","0","","5161","6016","","18039","20551",""
"09.01.2023 02:00 - 09.01.2023 02:15","0","0","","5129","6022","","17997","20330",""
"09.01.2023 02:15 - 09.01.2023 02:30","0","0","","5088","6022","","17979","20187",""
"09.01.2023 02:30 - 09.01.2023 02:45","0","0","","5043","5994","","17984","20383",""
"09.01.2023 02:45 - 09.01.2023 03:00","0","0","","5000","5913","","18007","20339",""
"09.01.2023 03:00 - 09.01.2023 03:15","0","0","","4945","5885","","18031","20592",""
"09.01.2023 03:15 - 09.01.2023 03:30","0","0","","4935","5889","","18054","20177",""
"09.01.2023 03:30 - 09.01.2023 03:45","0","0","","4839","5834","","18073","19766",""
"09.01.2023 03:45 - 09.01.2023 04:00","0","0","","4730","5691","","18098","19784",""
"09.01.2023 04:00 - 09.01.2023 04:15","0","0","","4614","5648","","18128","19748",""
"09.01.2023 04:15 - 09.01.2023 04:30","0","0","","4464","5495","","18136","19210",""
"09.01.2023 04:30 - 09.01.2023 04:45","0","0","","4309","5489","","18142","18814",""
"09.01.2023 04:45 - 09.01.2023 05:00","0","0","","4151","5465","","18147","18548",""
"09.01.2023 05:00 - 09.01.2023 05:15","0","0","","3989","5382","","18173","18377",""
"09.01.2023 05:15 - 09.01.2023 05:30","0","0","","3828","5233","","18264","18244",""
"09.01.2023 05:30 - 09.01.2023 05:45","0","0","","3667","5134","","18346","18375",""
"09.01.2023 05:45 - 09.01.2023 06:00","0","0","","3498","4935","","18427","18334",""
"09.01.2023 06:00 - 09.01.2023 06:15","0","0","","3325","4787","","18687","18638",""
"09.01.2023 06:15 - 09.01.2023 06:30","0","0","","3212","4679","","18815","19158",""
"09.01.2023 06:30 - 09.01.2023 06:45","0","0","","3096","4634","","18919","19193",""
"09.01.2023 06:45 - 09.01.2023 07:00","0","0","","2984","4621","","18961","19084",""
"09.01.2023 07:00 - 09.01.2023 07:15","0","0","","2880","4568","","18940","18949",""
"09.01.2023 07:15 - 09.01.2023 07:30","0","0","","2840","4425","","18979","19361",""
"09.01.2023 07:30 - 09.01.2023 07:45","0","0","","2799","4368","","19036","19865",""
"09.01.2023 07:45 - 09.01.2023 08:00","0","0","","2755","4279","","19091","19954",""
"09.01.2023 08:00 - 09.01.2023 08:15","13","6","","2720","4193","","19140","20139",""
"09.01.2023 08:15 - 09.01.2023 08:30","74","59","","2744","4186","","19212","20292",""
"09.01.2023 08:30 - 09.01.2023 08:45","324","296","","2769","4132","","19314","20427",""
"09.01.2023 08:45 - 09.01.2023 09:00","536","505","","2790","4084","","19440","20501",""
"09.01.2023 09:00 - 09.01.2023 09:15","792","817","","2818","4029","","19577","20677",""
"09.01.2023 09:15 - 09.01.2023 09:30","1113","1189","","2795","3959","","19696","20606",""
"09.01.2023 09:30 - 09.01.2023 09:45","1479","1607","","2764","3886","","19812","20538",""
"09.01.2023 09:45 - 09.01.2023 10:00","1867","2061","","2736","3817","","19926","20481",""
"09.01.2023 10:00 - 09.01.2023 10:15","2264","2508","","2707","3742","","20017","20434",""
"09.01.2023 10:15 - 09.01.2023 10:30","2689","2955","","2670","3619","","20037","20326",""
"09.01.2023 10:30 - 09.01.2023 10:45","3119","3373","","2628","3492","","20060","20225",""
"09.01.2023 10:45 - 09.01.2023 11:00","3547","3729","","2590","3373","","20075","20127",""
"09.01.2023 11:00 - 09.01.2023 11:15","3934","4100","","2553","3238","","20094","20033",""
"09.01.2023 11:15 - 09.01.2023 11:30","4309","4433","","2517","3070","","20108","19949",""
"09.01.2023 11:30 - 09.01.2023 11:45","4626","4682","","2491","2897","","20120","19866",""
"09.01.2023 11:45 - 09.01.2023 12:00","4875","4840","","2456","2729","","20133","19793",""
