"MTU (CET/CEST)","Generation - Solar  [MW] Day Ahead/ BZN|DE-LU","Generation - Solar  [MW] Intraday / BZN|DE-LU","Generation - Solar  [MW] Current / BZN|DE-LU","Generation - Wind Offshore  [MW] Day Ahead/ BZN|DE-LU","Generation - Wind Offshore  [MW] Intraday / BZN|DE-LU","Generation - Wind Offshore  [MW] Current / BZN|DE-LU","Generation - Wind Onshore  [MW] Day Ahead/ BZN|DE-LU","Generation - Wind Onshore  [MW] Intraday / BZN|DE-LU","Generation - Wind Onshore  [MW] Current / BZN|DE-LU"
"01.01.2023 15:45 - 01.01.2023 16:00","1235","1190","","5736","5366","","17973","19334",""
"01.01.2023 16:00 - 01.01.2023 16:15","689","631","","5708","5369","","17784","18942",""
"01.01.2023 16:15 - 01.01.2023 16:30","309","262","","5682","5362","","17716","18774",""
"01.01.2023 16:30 - 01.01.2023 16:45","68","57","","5655","5354","","17715","18509",""
"01.01.2023 16:45 - 01.01.2023 17:00","13","11","","5638","5347","","17574","18233",""
"01.01.2023 17:00 - 01.01.2023 17:15","0","0","","5609","5776","","17595","18005",""
"01.01.2023 17:15 - 01.01.2023 17:30","0","0","","5568","5758","","17746","17930",""
"01.01.2023 17:30 - 01.01.2023 17:45","0","0","","5529","5743","","17918","17879",""
"01.01.2023 17:45 - 01.01.2023 18:00","0","0","","5489","5866","","18016","17801",""
"01.01.2023 18:00 - 01.01.2023 18:15","0","0","","5446","5848","","18191","17763",""
"01.01.2023 18:15 - 01.01.2023 18:30","0","0","","5421","5828","","18355","17860",""
"01.01.2023 18:30 - 01.01.2023 18:45","0","0","","5388","5797","","18437","17787",""
"01.01.2023 18:45 - 01.01.2023 19:00","0","0","","5363","5775","","18577","17764",""
"01.01.2023 19:00 - 01.01.2023 19:15","0","0","","5339","5912","","18790","17809",""
"01.01.2023 19:15 - 01.01.2023 19:30","0","0","","5312","5863","","18908","17775",""
"01.01.2023 19:30 - 01.01.2023 19:45","0","0","","5281","5811","","18963","17676",""
"01.01.2023 19:45 - 01.01.2023 20:00","0","0","","5256","5755","","18985","17514",""
"01.01.2023 20:00 - 01.01.2023 20:15","0","0","","5227","5705","","18908","17268",""
"01.01.2023 20:15 - 01.01.2023 20:30","0","0","","5193","5656","","18418","16816",""
"01.01.2023 20:30 - 01.01.2023 20:45","0","0","","5156","5619","","18001","16434",""
"01.01.2023 20:45 - 01.01.2023 21:00","0","0","","5145","5569","","18015","16351",""
"01.01.2023 21:00 - 01.01.2023 21:15","0","0","","5087","5514","","18047","16268",""
"01.01.2023 21:15 - 01.01.2023 21:30","0","0","","4999","5433","","18103","16175",""
"01.01.2023 21:30 - 01.01.2023 21:45","0","0","","4986","5349","","18162","16086",""
"01.01.2023 21:45 - 01.01.2023 22:00","0","0","","4889","5259","","18236","16017",""
"01.01.2023 22:00 - 01.01.2023 22:15","0","0","","4816","5186","","18108","15780",""
"01.01.2023 22:15 - 01.01.2023 22:30","0","0","","4695","5067","","18174","15710",""
"01.01.2023 22:30 - 01.01.2023 22:45","0","0","","4580","4944","","18239","15644",""
"01.01.2023 22:45 - 01.01.2023 23:00","0","0","","4457","4816","","18299","15584",""
"01.01.2023 23:00 - 01.01.2023 23:15","0","0","","4343","4683","","18350","15541",""
"01.01.2023 23:15 - 01.01.2023 23:30","0","0","","4238","4508","","18428","15578",""
"01.01.2023 23:30 - 01.01.2023 23:45","0","0","","4141","4338","","18502","15613",""
"01.01.2023 23:45 - 02.01.2023 00:00","0","0","","4050","4161","","19143","16031",""
"02.01.2023 00:00 - 02.01.2023 00:15","0","0","","3872","3402","","17238","18410",""
"02.01.2023 00:15 - 02.01.2023 00:30","0","0","","3565","3186","","17400","18486",""
"02.01.2023 00:30 - 02.01.2023 00:45","0","0","","3255","2895","","17548","18527",""
"02.01.2023 00:45 - 02.01.2023 01:00","0","0","","2940","2519","","17690","18592",""
"02.01.2023 01:00 - 02.01.2023 01:15","0","0","","2623","2215","","17846","18672",""
"02.01.2023 01:15 - 02.01.2023 01:30","0","0","","2427","1907","","18091","18995",""
"02.01.2023 01:30 - 02.01.2023 01:45","0","0","","2243","1640","","18367","19272",""
"02.01.2023 01:45 - 02.01.2023 02:00","0","0","","2065","1551","","18658","19468",""
"02.01.2023 02:00 - 02.01.2023 02:15","0","0","","1896","1478","","18962","19692",""
"02.01.2023 02:15 - 02.01.2023 02:30","0","0","","1777","1407","","19332","20096",""
"02.01.2023 02:30 - 02.01.2023 02:45","0","0","","1664","1362","","19712","20438",""
"02.01.2023 02:45 - 02.01.2023 03:00","0","0","","1556","1268","","20088","20727",""
"02.01.2023 03:00 - 02.01.2023 03:15","0","0","","1462","1059","","20459","21478",""
"02.01.2023 03:15 - 02.01.2023 03:30","0","0","","1395","967","","20811","21946",""
"02.01.2023 03:30 - 02.01.2023 03:45","0","0","","1323","842","","21161","22470",""
"02.01.2023 03:45 - 02.01.2023 04:00","0","0","","1259","834","","21506","22954",""
"02.01.2023 04:00 - 02.01.2023 04:15","0","0","","1206","810","","21846","23322",""
"02.01.2023 04:15 - 02.01.2023 04:30","0","0","","1166","834","","22112","23832",""
"02.01.2023 04:30 - 02.01.2023 04:45","0","0","","1121","810","","22382","24133",""
"02.01.2023 04:45 - 02.01.2023 05:00","0","0","","1075","816","","22645","24256",""
"02.01.2023 05:00 - 02.01.2023 05:15","0","0","","1049","811","","22912","24693",""
"02.01.2023 05:15 - 02.01.2023 05:30","0","0","","1074","826","","23155","25009",""
"02.01.2023 05:30 - 02.01.2023 05:45","0","0","","1113","854","","23401","25219",""
"02.01.2023 05:45 - 02.01.2023 06:00","0","0","","1159","933","","23648","25503",""
"02.01.2023 06:00 - 02.01.2023 06:15","0","0","","1192","998","","24164","26187",""
"02.01.2023 06:15 - 02.01.2023 06:30","0","0","","1231","1024","","24415","26414",""
"02.01.2023 06:30 - 02.01.2023 06:45","0","0","","1280","1066","","24653","26870",""
"02.01.2023 06:45 - 02.01.2023 07:00","0","0","","1335","1145","","24847","26938",""
"02.01.2023 07:00 - 02.01.2023 07:15","0","0","","1391","1178","","24919","27258",""
"02.01.2023 07:15 - 02.01.2023 07:30","0","0","","1422","1230","","24988","27446",""
"02.01.2023 07:30 - 02.01.2023 07:45","0","0","","1450","1371","","25106","27787",""
"02.01.2023 07:45 - 02.01.2023 08:00","0","0","","1486","1477","","25243","27878",""
"02.01.2023 08:00 - 02.01.2023 08:15","31","18","","1529","1602","","25369","28114",""
"02.01.2023 08:15 - 02.01.2023 08:30","144","110","","1571","1733","","25446","28074",""
"02.01.2023 08:30 - 02.01.2023 08:45","805","739","","1618","1776","","25529","27979",""
"02.01.2023 08:45 - 02.01.2023 09:00","1487","1429","","1668","1840","","25608","27917",""
"02.01.2023 09:00 - 02.01.2023 09:15","2279","2146","","1723","1913","","25661","28005",""
"02.01.2023 09:15 - 02.01.2023 09:30","3125","2967","","1791","1978","","25591","27751",""
"02.01.2023 09:30 - 02.01.2023 09:45","4020","3801","","1861","2045","","25524","27501",""
"02.01.2023 09:45 - 02.01.2023 10:00","4928","4683","","1940","2115","","25449","27250",""
"02.01.2023 10:00 - 02.01.2023 10:15","5799","5572","","2034","2180","","25378","26996",""
"02.01.2023 10:15 - 02.01.2023 10:30","6631","6444","","2156","2315","","25230","26663",""
"02.01.2023 10:30 - 02.01.2023 10:45","7405","7284","","2288","2437","","25083","26337",""
"02.01.2023 10:45 - 02.01.2023 11:00","8051","8032","","2429","2570","","24957","26041",""
"02.01.2023 11:00 - 02.01.2023 11:15","8562","8688","","2583","2711","","24842","25745",""
"02.01.2023 11:15 - 02.01.2023 11:30","9003","9242","","2727","2911","","24723","25525",""
"02.01.2023 11:30 - 02.01.2023 11:45","9301","9644","","2874","3104","","24599","25308",""
"02.01.2023 11:45 - 02.01.2023 12:00","9428","9864","","3028","3301","","24461","25093",""
"02.01.2023 12:00 - 02.01.2023 12:15","9414","9975","","3188","3494","","24313","24887",""
"02.01.2023 12:15 - 02.01.2023 12:30","9245","9921","","3336","3746","","24129","24687",""
"02.01.2023 12:30 - 02.01.2023 12:45","8955","9718","","3487","3988","","23965","24477",""
"02.01.2023 12:45 - 02.01.2023 13:00","8537","9377","","3634","4234","","23821","24280",""
"02.01.2023 13:00 - 02.01.2023 13:15","8044","8925","","3785","4469","","23700","24080",""
"02.01.2023 13:15 - 02.01.2023 13:30","7438","8244","","3922","4656","","23537","23880",""
"02.01.2023 13:30 - 02.01.2023 13:45","6791","7551","","4051","4841","","23336","23678",""
"02.01.2023 13:45 - 02.01.2023 14:00","6090","6764","","4177","5030","","23114","23484",""
"02.01.2023 14:00 - 02.01.2023 14:15","5377","5320","","4298","5205","","22875","23310",""
"02.01.2023 14:15 - 02.01.2023 14:30","4640","4555","","4410","5344","","22764","23149",""
"02.01.2023 14:30 - 02.01.2023 14:45","3904","3776","","4526","5478","","22657","22983",""
"02.01.2023 14:45 - 02.01.2023 15:00","3160","3012","","4636","5606","","22547","22819",""
"02.01.2023 15:00 - 02.01.2023 15:15","2475","2344","","4729","5188","","22457","22665",""
"02.01.2023 15:15 - 02.01.2023 15:30","1865","1761","","4755","5223","","22448","22467",""
"02.01.2023 15:30 - 02.01.2023 15:45","1320","1236","","4776","5260","","22435","22273",""
"02.01.2023 15:45 - 02.01.2023 16:00","834","781","","4795","5291","","22423","22074",""
"02.01.2023 16:00 - 02.01.2023 16:15","463","429","","4816","5321","","22405","21880",""
"02.01.2023 16:15 - 02.01.2023 16:30","200","198","","4841","5332","","22385","21732",""
"02.01.2023 16:30 - 02.01.2023 16:45","36","55","","4859","5342","","22356","21585",""
"02.01.2023 16:45 - 02.01.2023 17:00","6","13","","4883","5328","","22331","21435",""
"02.01.2023 17:00 - 02.01.2023 17:15","0","0","","4908","5336","","22305","21290",""
"02.01.2023 17:15 - 02.01.2023 17:30","0","0","","4937","5332","","22303","21216",""
"02.01.2023 17:30 - 02.01.2023 17:45","0","0","","4954","5337","","22299","21138",""
