,1
532,15.0
533,20.0
534,15.0
535,10.0
536,5.0
537,0.0
538,5.0
539,10.0
540,15.0
541,20.0
542,25.0
543,30.0
544,35.0
545,40.0
546,35.0
547,30.0
548,25.0
549,20.0
550,15.0
551,10.0
552,5.0
553,0.0
554,5.0
555,10.0
556,15.0
557,20.0
558,15.0
559,10.0
560,5.0
561,0.0
562,5.0
563,10.0
564,15.0
565,20.0
566,25.0
567,30.0
568,35.0
569,40.0
570,35.0
571,30.0
572,25.0
573,20.0
574,15.0
575,10.0
576,5.0
577,0.0
578,5.0
579,10.0
580,15.0
581,20.0
582,15.0
583,10.0
584,5.0
585,0.0
586,5.0
587,10.0
588,15.0
589,20.0
590,25.0
591,30.0
592,35.0
593,40.0
594,35.0
595,30.0
596,25.0
597,20.0
598,15.0
599,10.0
600,5.0
601,0.0
602,5.0
603,10.0
604,15.0
605,20.0
606,15.0
607,10.0
608,5.0
609,0.0
610,5.0
611,10.0
612,15.0
613,20.0
614,25.0
615,30.0
616,35.0
617,40.0
618,35.0
619,30.0
620,25.0
621,20.0
622,15.0
623,10.0
624,5.0
625,0.0
626,5.0
627,10.0
628,15.0
629,20.0
630,15.0
631,10.0
632,5.0
633,0.0
634,5.0
635,10.0
636,15.0
637,20.0
638,25.0
639,30.0
640,35.0
641,40.0
642,35.0
643,30.0
644,25.0
645,20.0
646,15.0
647,10.0
648,5.0
649,0.0
650,5.0
651,10.0
652,15.0
653,20.0
654,15.0
655,10.0
656,5.0
657,0.0
658,5.0
659,10.0
660,15.0
661,20.0
662,25.0
663,30.0
664,35.0
665,40.0
666,35.0
667,30.0
668,25.0
669,20.0
670,15.0
671,10.0
672,5.0
673,0.0
674,5.0
675,10.0
676,15.0
677,20.0
678,15.0
679,10.0
680,5.0
681,0.0
682,5.0
683,10.0
684,15.0
685,20.0
686,25.0
687,30.0
688,35.0
689,40.0
690,35.0
691,30.0
692,25.0
693,20.0
694,15.0
695,10.0
696,5.0
697,0.0
698,5.0
699,10.0
700,15.0
701,20.0
702,15.0
703,10.0
704,5.0
705,0.0
706,5.0
707,10.0
708,15.0
709,20.0
710,25.0
711,30.0
712,35.0
713,40.0
714,35.0
715,30.0
716,25.0
717,20.0
718,15.0
719,10.0
720,5.0
721,0.0
722,5.0
723,10.0
724,15.0
725,20.0
726,15.0
727,10.0
728,5.0
729,0.0
730,5.0
731,10.0
732,15.0
733,20.0
734,25.0
735,30.0
736,35.0
737,40.0
738,35.0
739,30.0
740,25.0
741,20.0
742,15.0
743,10.0
744,5.0
745,0.0
746,5.0
747,10.0
748,15.0
749,20.0
750,15.0
751,10.0
752,5.0
753,0.0
754,5.0
755,10.0
756,15.0
757,20.0
758,25.0
759,30.0
760,35.0
761,40.0
762,35.0
763,30.0
764,25.0
765,20.0
766,15.0
767,10.0
768,5.0
769,0.0
770,5.0
771,10.0
772,15.0
773,20.0
774,15.0
775,10.0
776,5.0
777,0.0
778,5.0
779,10.0
780,15.0
781,20.0
782,25.0
783,30.0
784,35.0
785,40.0
786,35.0
787,30.0
788,25.0
789,20.0
790,15.0
791,10.0
792,5.0
793,0.0
794,5.0
795,10.0
796,15.0
797,20.0
798,15.0
799,10.0
800,5.0
801,0.0
802,5.0
803,10.0
804,15.0
805,20.0
806,25.0
807,30.0
808,35.0
809,40.0
810,35.0
811,30.0
812,25.0
813,20.0
814,15.0
815,10.0
816,5.0
817,0.0
818,5.0
819,10.0
820,15.0
821,20.0
822,15.0
823,10.0
824,5.0
825,0.0
826,5.0
827,10.0
828,15.0
829,20.0
830,25.0
831,30.0
832,35.0
833,40.0
834,35.0
835,30.0
836,25.0
837,20.0
838,15.0
839,10.0
840,5.0
841,0.0
842,5.0
843,10.0
844,15.0
845,20.0
846,15.0
847,10.0
848,5.0
849,0.0
850,5.0
851,10.0
852,15.0
853,20.0
854,25.0
855,30.0
856,35.0
857,40.0
858,35.0
859,30.0
860,25.0
861,20.0
862,15.0
863,10.0
864,5.0
865,0.0
866,5.0
867,10.0
868,15.0
869,20.0
870,15.0
871,10.0
872,5.0
873,0.0
874,5.0
875,10.0
876,15.0
877,20.0
878,25.0
879,30.0
880,35.0
881,40.0
882,35.0
883,30.0
884,25.0
885,20.0
886,15.0
887,10.0
888,5.0
889,0.0
890,5.0
891,10.0
892,15.0
893,20.0
894,15.0
895,10.0
896,5.0
897,0.0
898,5.0
899,10.0
900,15.0
901,20.0
902,25.0
903,30.0
904,35.0
905,40.0
906,35.0
907,30.0
908,25.0
909,20.0
910,15.0
911,10.0
912,5.0
913,0.0
914,5.0
915,10.0
916,15.0
917,20.0
918,15.0
919,10.0
920,5.0
921,0.0
922,5.0
923,10.0
924,15.0
925,20.0
926,25.0
927,30.0
928,35.0
929,40.0
930,35.0
931,30.0
932,25.0
933,20.0
934,15.0
935,10.0
936,5.0
937,0.0
938,5.0
939,10.0
940,15.0
941,20.0
942,15.0
943,10.0
944,5.0
945,0.0
946,5.0
947,10.0
948,15.0
949,20.0
950,25.0
951,30.0
952,35.0
953,40.0
954,35.0
955,30.0
956,25.0
957,20.0
958,15.0
959,10.0
960,5.0
961,0.0
962,5.0
963,10.0
964,15.0
965,20.0
966,15.0
967,10.0
968,5.0
969,0.0
970,5.0
971,10.0
972,15.0
973,20.0
974,25.0
975,30.0
976,35.0
977,40.0
978,35.0
979,30.0
980,25.0
981,20.0
982,15.0
983,10.0
984,5.0
985,0.0
986,5.0
987,10.0
988,15.0
989,20.0
990,15.0
991,10.0
992,5.0
993,0.0
994,5.0
995,10.0
996,15.0
997,20.0
998,25.0
999,30.0
1000,35.0
1001,40.0
1002,35.0
1003,30.0
1004,25.0
1005,20.0
1006,15.0
1007,10.0
1008,5.0
1009,0.0
1010,5.0
1011,10.0
1012,15.0
1013,20.0
1014,15.0
1015,10.0
1016,5.0
1017,0.0
1018,5.0
1019,10.0
1020,15.0
1021,20.0
1022,25.0
1023,30.0
1024,35.0
1025,40.0
1026,35.0
1027,30.0
1028,25.0
1029,20.0
1030,15.0
1031,10.0
1032,5.0
1033,0.0
1034,5.0
1035,10.0
1036,15.0
1037,20.0
1038,15.0
1039,10.0
1040,5.0
1041,0.0
1042,5.0
1043,10.0
1044,15.0
1045,20.0
1046,25.0
1047,30.0
1048,35.0
1049,40.0
1050,35.0
1051,30.0
1052,25.0
1053,20.0
1054,15.0
1055,10.0
1056,5.0
1057,0.0
1058,5.0
1059,10.0
1060,15.0
1061,20.0
1062,15.0
1063,10.0
1064,5.0
1065,0.0
1066,5.0
1067,10.0
1068,15.0
1069,20.0
1070,25.0
1071,30.0
1072,35.0
1073,40.0
1074,35.0
1075,30.0
1076,25.0
1077,20.0
1078,15.0
1079,10.0
1080,5.0
1081,0.0
1082,5.0
1083,10.0
1084,15.0
1085,20.0
1086,15.0
1087,10.0
1088,5.0
1089,0.0
1090,5.0
1091,10.0
1092,15.0
1093,20.0
1094,25.0
1095,30.0
1096,35.0
1097,40.0
1098,35.0
1099,30.0
1100,25.0
1101,20.0
1102,15.0
1103,10.0
1104,5.0
1105,0.0
1106,5.0
1107,10.0
1108,15.0
1109,20.0
1110,15.0
1111,10.0
1112,5.0
1113,0.0
1114,5.0
1115,10.0
1116,15.0
1117,20.0
1118,25.0
1119,30.0
1120,35.0
1121,40.0
1122,35.0
1123,30.0
1124,25.0
1125,20.0
1126,15.0
1127,10.0
1128,5.0
1129,0.0
1130,5.0
1131,10.0
1132,15.0
1133,20.0
1134,15.0
1135,10.0
1136,5.0
1137,0.0
1138,5.0
1139,10.0
1140,15.0
1141,20.0
1142,25.0
1143,30.0
1144,35.0
1145,40.0
1146,35.0
1147,30.0
1148,25.0
1149,20.0
1150,15.0
1151,10.0
1152,5.0
1153,0.0
1154,5.0
1155,10.0
1156,15.0
1157,20.0
1158,15.0
1159,10.0
1160,5.0
1161,0.0
1162,5.0
1163,10.0
1164,15.0
1165,20.0
1166,25.0
1167,30.0
1168,35.0
1169,40.0
1170,35.0
1171,30.0
1172,25.0
1173,20.0
1174,15.0
1175,10.0
1176,5.0
1177,0.0
1178,5.0
1179,10.0
1180,15.0
1181,20.0
1182,15.0
1183,10.0
1184,5.0
1185,0.0
1186,5.0
1187,10.0
1188,15.0
1189,20.0
1190,25.0
1191,30.0
1192,35.0
1193,40.0
1194,35.0
1195,30.0
1196,25.0
1197,20.0
1198,15.0
1199,10.0
1200,5.0
1201,0.0
1202,5.0
1203,10.0
1204,15.0
1205,20.0
1206,15.0
1207,10.0
1208,5.0
1209,0.0
1210,5.0
1211,10.0
1212,15.0
1213,20.0
1214,25.0
1215,30.0
1216,35.0
1217,40.0
1218,35.0
1219,30.0
1220,25.0
1221,20.0
1222,15.0
1223,10.0
1224,5.0
1225,0.0
1226,5.0
1227,10.0
1228,15.0
1229,20.0
1230,15.0
1231,10.0
1232,5.0
1233,0.0
1234,5.0
1235,10.0
1236,15.0
1237,20.0
1238,25.0
1239,30.0
1240,35.0
1241,40.0
1242,35.0
1243,30.0
1244,25.0
1245,20.0
1246,15.0
1247,10.0
1248,5.0
1249,0.0
1250,5.0
1251,10.0
1252,15.0
1253,20.0
1254,15.0
1255,10.0
1256,5.0
1257,0.0
1258,5.0
1259,10.0
1260,15.0
1261,20.0
1262,25.0
1263,30.0
1264,35.0
1265,40.0
1266,35.0
1267,30.0
1268,25.0
1269,20.0
1270,15.0
1271,10.0
1272,5.0
1273,0.0
1274,5.0
