,1,2,3,4,5,6,7,8,9,10
72,50.73,50.73,50.73,22.9,29.33,22.9,22.9,103.7,50.73,51.83
73,47.11,47.11,47.11,15.95,24.82,15.95,15.95,108.27,47.11,36.1725
74,47.07,47.07,47.07,16.63,24.65,16.63,16.63,105.92,47.07,27.6025
75,46.94,46.94,46.94,6.45,24.8,6.45,6.45,103.41,46.94,8.95
76,47.0,47.0,47.0,3.83,27.71,3.83,3.83,102.71,47.0,5.8275
77,46.91,46.91,46.91,0.12,28.58,0.12,0.12,114.23,46.91,24.4825
78,49.59,49.59,49.59,0.07,37.04,0.07,0.07,156.91,49.59,54.17
79,55.32,55.32,55.32,19.07,52.03,19.07,19.07,182.64,55.32,59.625
80,55.78,55.78,55.78,17.49,55.76,17.49,17.49,178.91,55.78,73.7575
81,55.52,55.52,55.52,23.98,57.06,23.98,23.98,190.0,55.52,74.555
82,55.23,55.23,55.23,8.8,57.18,8.8,8.8,189.88,55.23,74.5175
83,53.58,53.58,53.58,17.95,60.0,17.95,17.95,182.42,53.58,74.1125
84,51.74,51.74,51.74,19.5,61.27,19.5,19.5,182.46,51.74,74.47
85,51.6,51.6,51.6,13.74,60.28,13.74,13.74,179.59,51.6,68.4125
86,51.41,51.41,51.41,17.42,60.07,17.42,17.42,179.0,51.41,68.3175
87,51.69,51.69,51.69,20.38,59.46,20.38,20.38,180.93,51.69,68.1675
88,52.59,52.59,52.59,25.08,61.99,25.08,25.08,166.69,52.59,74.07
89,54.66,54.66,54.66,28.88,66.82,28.88,28.88,189.88,54.66,75.22
90,54.1,54.1,54.1,32.02,61.97,32.02,32.02,184.94,54.1,75.0375
91,51.89,51.89,51.89,35.35,55.06,35.35,35.35,178.99,51.89,73.4725
92,46.58,46.58,46.58,29.98,47.34,29.98,29.98,156.12,46.58,63.815
93,45.43,45.43,45.43,34.46,45.64,34.46,34.46,140.92,45.43,56.77
94,43.96,43.96,43.96,39.75,48.93,39.75,39.75,137.92,43.96,56.1
95,31.41,31.41,31.41,37.95,44.64,37.95,37.95,97.56,31.41,39.0375
96,26.9,26.9,26.9,33.1,37.54,33.1,33.1,105.31,26.9,9.0975
97,25.12,25.12,25.12,32.28,40.07,32.28,32.28,97.29,25.12,7.015
98,24.12,24.12,24.12,31.18,39.81,31.18,31.18,84.5,24.12,-0.065
99,22.04,22.04,22.04,30.1,39.65,30.1,30.1,75.38,22.04,-0.335
100,18.37,18.37,18.37,29.96,40.2,29.96,29.96,79.11,18.37,-0.1
101,22.09,22.09,22.09,29.88,44.26,29.88,29.88,94.79,22.09,14.37
102,23.35,23.35,23.35,30.38,47.06,30.38,30.38,99.16,23.35,57.4675
103,28.76,28.76,28.76,31.15,54.96,31.15,31.15,101.15,28.76,95.475
104,36.63,36.63,36.63,32.09,63.67,32.09,32.09,129.56,36.63,114.555
105,40.46,40.46,40.46,34.27,64.73,34.27,34.27,113.37,40.46,106.295
106,45.85,45.85,45.85,37.53,66.07,37.53,37.53,94.43,45.85,109.985
107,49.8,49.8,49.8,38.99,65.97,38.99,38.99,98.1,49.8,119.815
108,51.36,51.36,51.36,38.15,65.46,38.15,38.15,95.68,51.36,126.9875
109,51.74,51.74,51.74,35.37,63.82,35.37,35.37,96.8,51.74,133.23
110,51.92,51.92,51.92,34.44,63.87,34.44,34.44,107.32,51.92,136.95
111,53.22,53.22,53.22,36.1,64.05,36.1,36.1,119.48,53.22,145.54
112,56.62,56.62,56.62,40.59,64.26,40.59,40.59,137.28,56.62,162.7275
113,56.92,56.92,56.92,44.68,67.14,44.68,44.68,148.09,56.92,171.81
114,61.64,61.64,61.64,46.16,61.61,46.16,46.16,139.88,61.64,179.9975
115,59.44,59.44,59.44,44.62,59.16,44.62,44.62,135.75,59.44,172.0
116,52.75,52.75,52.75,39.5,59.26,39.5,39.5,119.93,52.75,165.0
117,51.9,51.9,51.9,35.76,53.62,35.76,35.76,98.09,51.9,153.1275
118,51.38,51.38,51.38,36.49,53.86,36.49,36.49,118.71,51.38,141.93
119,49.96,49.96,49.96,30.49,47.99,30.49,30.49,99.68,49.96,125.7025
120,50.29,50.29,50.29,29.16,44.41,29.16,29.16,99.85,50.29,108.9975
121,47.72,47.72,47.72,29.0,42.94,29.0,29.0,101.32,47.72,100.0725
122,48.38,48.38,48.38,29.08,42.88,29.08,29.08,110.01,48.38,91.3025
123,48.02,48.02,48.02,27.72,42.15,27.72,27.72,111.55,48.02,79.13
124,44.23,44.23,44.23,27.03,43.23,27.03,27.03,123.37,44.23,73.175
125,47.17,47.17,47.17,28.98,44.56,28.98,28.98,149.94,47.17,78.3225
126,48.19,48.19,48.19,33.18,47.4,33.18,33.18,185.92,48.19,99.9725
127,49.11,49.11,49.11,43.13,44.05,43.13,43.13,228.25,49.11,109.5175
128,50.44,50.44,50.44,44.52,53.41,44.52,44.52,228.92,50.44,114.065
129,53.4,53.4,53.4,44.96,54.8,44.96,44.96,212.9,53.4,118.7425
130,56.55,56.55,56.55,44.0,53.94,44.0,44.0,215.5,56.55,113.7775
131,60.02,60.02,60.02,42.46,58.3,42.46,42.46,231.9,60.02,113.4575
132,60.22,60.22,60.22,41.3,61.43,41.3,41.3,226.0,60.22,111.2275
133,55.0,55.0,55.0,40.51,61.92,40.51,40.51,209.2,55.0,109.7525
134,52.39,52.39,52.39,41.22,57.0,41.22,41.22,216.06,52.39,112.2
135,51.57,51.57,51.57,43.28,57.53,43.28,43.28,230.77,51.57,129.405
136,54.71,54.71,54.71,43.68,61.68,43.68,43.68,245.95,54.71,147.065
137,63.43,63.43,63.43,47.9,61.84,47.9,47.9,274.11,63.43,156.715
138,67.37,67.37,67.37,48.91,57.46,48.91,48.91,273.44,67.37,157.71
139,67.2,67.2,67.2,45.04,58.06,45.04,45.04,245.48,67.2,150.2575
140,66.03,66.03,66.03,40.28,59.97,40.28,40.28,226.14,66.03,151.0925
141,55.36,55.36,55.36,33.89,52.95,33.89,33.89,208.31,55.36,134.2625
142,58.59,58.59,58.59,33.58,52.95,33.58,33.58,178.75,58.59,135.0925
143,53.7,53.7,53.7,32.41,49.53,32.41,32.41,124.7,53.7,112.68
